tic,status,period_grid_searched,sectors,points,discovery_points,holdout_points,tmag,distance_pc,source_sha256
59656000,screened,True,5,15084,6107,8977,13.66,40.93,aa709e83a51f00bfd22ebe12b0b7c7266f144dbcf60a2c5bea3b9b51795727f2
60074959,screened,True,5,14927,6113,8814,13.45,39.76,14f90073e58d4b3471b560020de68fb6836d06c0a9a9ec08b611413683c7b4cb
60421412,screened,True,4,11704,6037,5667,13.99,28.78,515b17594794276ff22fff5b09e0b94828e7ac3bb30806a24a03ae35cb316a90
61334091,screened,True,3,8825,3447,5378,13.72,29.73,665c8ae3a066018521fc0431d45bf99c435df96f386058a021e06cd5091b8192
61587960,screened,True,3,9510,6077,3433,13.59,31.72,4066f2ca568046a9ff83e6f40930be60432ca268686ff05f2b960f92d2ee3811
63052569,screened,True,4,13395,7380,6015,13.62,31.24,b02ccc52953698eeca0087ddbc770b018c41ca647499c78a87ddb6740794b6ce
63126862,screened,True,9,31720,7473,24247,13.74,40.06,f1fc8f9e13b299093edb9af37ea8586506e652c9ff11f33d0ce20028f0819c62
63781635,screened,True,3,8721,3430,5291,12.12,10.34,dbb8ab410910b1b59b5fec423b8598dbf737511206b4d18698aa0098943bc42f
67072736,screened,True,3,8361,4822,3539,11.96,17.85,059f2631830ec518989ed52ea089b81c6ab6f0900ca0732c473a47114a712443
67402669,screened,True,4,12276,9077,3199,12.99,18.97,41fbe8eb6450096c3fe1a0e8deedb1ea7bab0f16f79dd183568886035566ccd1
68073008,screened,True,3,7517,5604,1913,13.53,35.99,7d112897a6e75229d4b88a6573541fe50ed480eb4119b1983a0f1758933a4405
68766754,screened,True,4,11343,5904,5439,12.76,30.83,e55bf888aa6eaa2cfc2fa2c7ffbfcd42f9059bf360bd8f278465a882ce9d0902
70901653,screened,True,2,6796,3440,3356,13.96,29.95,386d41880827f34d1e5aab1baba2b4ea2b44c1d2ebf2833d1ee2acb30bff094a
71262585,screened,True,4,11652,3308,8344,13.78,24.07,6bd6d6ab6288382823988775aaf5a4d9843710379f3346273f629e44f8ca5173
71432847,screened,True,3,9143,3505,5638,13.98,33.87,01d95e5198ded5868db32ad413bb862705c9763debc4f6cd3152901ffd4d8fc6
7150628,screened,True,7,21818,9276,12542,13.86,26.72,24af6400ba30e4cf1ccc311a04b6046d13b482470df2ea466e1da4e85177dd4a
71678774,screened,True,3,9297,3431,5866,13.03,15.27,89acab98f6dd1a3fa18de539def4bab42d2f66de179f31a15d3a8db8e9af7a7e
74185907,screened,True,6,19434,6507,12927,12.11,25.53,a19adb63a4d1c7d51e776d24f37c0ef353bbd18e608354562eeb3f1515b3bbb9
7422813,screened,True,7,24890,10138,14752,12.92,33.5,14f0e493a15fa9299237e3554697f14a6c2647239203b74e11df31ba340b0f5f
7695962,screened,True,4,13004,6735,6269,12.18,25.34,a67c240e024b2ce25254eb348cddf20dba22da6adc5a307b2278b89519a94167
