tic,eligible_non_toi_ctoi_rank,batch_offset,batch_count
153949589,923,500,500
344012137,924,500,500
24088071,925,500,500
442897934,926,500,500
44795539,927,500,500
350708370,928,500,500
166004965,929,500,500
176955267,930,500,500
446157830,931,500,500
441628564,932,500,500
367279806,933,500,500
8589633,934,500,500
350342912,935,500,500
207211020,936,500,500
279354493,937,500,500
183641863,938,500,500
321595102,939,500,500
441605415,940,500,500
417839594,941,500,500
454281036,942,500,500
232814030,943,500,500
395602605,944,500,500
293162811,945,500,500
153977439,946,500,500
142563406,947,500,500
461592543,948,500,500
196947528,949,500,500
199573123,950,500,500
201292812,951,500,500
13238985,952,500,500
86378567,953,500,500
232524921,954,500,500
160115906,955,500,500
59656000,956,500,500
206496404,957,500,500
207491443,958,500,500
116281239,959,500,500
219432571,960,500,500
27489586,961,500,500
287488930,962,500,500
183306102,963,500,500
192850384,964,500,500
230235775,965,500,500
165530589,966,500,500
198313420,967,500,500
232979974,968,500,500
178241984,969,500,500
78014053,970,500,500
148781504,971,500,500
461086188,972,500,500
350142099,973,500,500
255929154,974,500,500
372848247,975,500,500
236874149,976,500,500
60074959,977,500,500
423236614,978,500,500
355935333,979,500,500
138618648,980,500,500
385445333,981,500,500
238022708,982,500,500
147680159,983,500,500
441662762,984,500,500
160083748,985,500,500
310995878,986,500,500
165597292,987,500,500
55481273,988,500,500
341705385,989,500,500
